target_horizon_days,model_name,feature_count,selection_rows,evaluation_rows,selection_mse,selection_mae,selection_correlation,selection_directional_accuracy,evaluation_mse,evaluation_mae,evaluation_correlation,evaluation_directional_accuracy,nonzero_count,alpha,l1_ratio
55,elastic_net,40,128,126,0.0005060503967920337,0.017907860420412737,0.8651863865317464,0.8984375,0.008218524604957962,0.07324887631187263,0.7182899523545628,0.7142857142857143,15,0.000221221629107045,0.7
43,ols,40,140,138,0.0006074338066335103,0.018906745702754853,0.8359636205069013,0.8571428571428571,0.005842204460625169,0.061352652069212824,0.7150141465275971,0.6739130434782609,38,,
90,lasso,40,93,91,0.0009079931414705534,0.02348126864817349,0.7528970208706317,1.0,0.013114646004550852,0.09808802309509257,0.7144712013713628,0.989010989010989,3,0.011721022975334805,
44,ols,40,139,137,0.0006222992646209121,0.01938096265690367,0.8323748169473111,0.8705035971223022,0.006097643951339936,0.0626732883282327,0.7126926279980308,0.635036496350365,38,,
98,lasso,40,85,83,0.0007817967526354649,0.02237814763368704,0.7497883695617695,1.0,0.013401794865222437,0.10174840821574498,0.7106846863761483,1.0,1,0.011721022975334805,
72,lasso,40,111,109,0.0004817553865225656,0.017721122805646226,0.8651616833665181,0.9819819819819819,0.01098453710934287,0.09132513845951157,0.7084845679725821,0.8715596330275229,17,0.0001,
80,lasso,40,103,101,0.0003905710060258514,0.015971503003105784,0.8877769012176335,0.9902912621359223,0.011192258113856695,0.08983820155500478,0.7083227144439748,0.9702970297029703,15,0.0001,
88,lasso,40,95,93,0.0005774122142635994,0.019780143516308368,0.8178935447539258,1.0,0.011640303001239033,0.09270920257181221,0.7055409930642313,0.956989247311828,16,0.0001,
68,lasso,40,115,113,0.0004980743743912134,0.017818222168085065,0.8687753902291989,0.9565217391304348,0.010621091457264925,0.08642528297237254,0.7036504681090767,0.8761061946902655,10,0.0004893900918477494,
57,elastic_net,40,126,124,0.00048791957496563984,0.017450870135367877,0.8736245624774587,0.8650793650793651,0.008716378993556198,0.07623799301017066,0.7030783103927957,0.6854838709677419,16,0.00032903445623126676,0.9
95,ridge,40,88,86,0.0005031495483789916,0.017695435386405268,0.8105354940682483,1.0,0.012765511985751288,0.09961971399043931,0.6971162609037965,1.0,38,10.0,
