Date,predicted_future_return,portfolio_weight,active_anchor_date,active_model_name,active_target_horizon_days,prediction_scale,price
2021-06-07,0.033843318855993704,0.3408522963912686,2020-12-31,ols,45,0.09929027679820744,177.87
2021-06-08,0.010098438571418483,0.10170621834343398,2020-12-31,ols,45,0.09929027679820744,177.32
2021-06-09,0.015356783193704204,0.154665529082113,2020-12-31,ols,45,0.09929027679820744,176.98
2021-06-10,0.031618366988201335,0.31844373898222594,2020-12-31,ols,45,0.09929027679820744,177.74
2021-06-11,0.02164684842287759,0.21801579289452033,2020-12-31,ols,45,0.09929027679820744,175.74
2021-06-14,0.032172679353661165,0.32402648467832657,2020-12-31,ols,45,0.09929027679820744,174.71
2021-06-15,0.03820332595640433,0.3847640190796007,2020-12-31,ols,45,0.09929027679820744,174.05
2021-06-16,0.048244234948711245,0.4858908294390235,2020-12-31,ols,45,0.09929027679820744,171.11
2021-06-17,0.05305225889746287,0.5343147446882801,2020-12-31,ols,45,0.09929027679820744,165.85
2021-06-18,0.05727683068338005,0.5768624333658229,2020-12-31,ols,45,0.09929027679820744,164.93
2021-06-21,0.06147090449233225,0.6191029622896774,2020-12-31,ols,45,0.09929027679820744,166.95
2021-06-22,0.06612539254965283,0.6659805439362683,2020-12-31,ols,45,0.09929027679820744,166.25
2021-06-23,0.06967405286652223,0.70172080402318,2020-12-31,ols,45,0.09929027679820744,166.14
2021-06-24,0.0636605932075372,0.6411563675758281,2020-12-31,ols,45,0.09929027679820744,166.04
2021-06-25,0.06249096481322916,0.6293764790305968,2020-12-31,ols,45,0.09929027679820744,166.59
2021-06-28,0.06292963978101238,0.6337945850317993,2020-12-31,ols,45,0.09929027679820744,166.58
2021-06-29,0.06651476311837462,0.6699020816867686,2020-12-31,ols,45,0.09929027679820744,164.83
2021-06-30,0.07310287175691726,0.736254083624803,2020-12-31,ols,45,0.09929027679820744,165.63
2021-07-01,-0.030509641170236426,0.0,2021-06-30,ols,45,0.06930792589788344,166.2
2021-07-02,-0.030222140514253718,0.0,2021-06-30,ols,45,0.06930792589788344,167.29
2021-07-06,-0.04724064619511252,0.0,2021-06-30,ols,45,0.06930792589788344,168.12
2021-07-07,-0.037111793440403495,0.0,2021-06-30,ols,45,0.06930792589788344,168.76
2021-07-08,-0.007845618315811459,0.0,2021-06-30,ols,45,0.06930792589788344,168.65
2021-07-09,0.02172490966659646,0.31345490988441055,2021-06-30,ols,45,0.06930792589788344,169.21
2021-07-12,0.027337577008368488,0.3944365186839812,2021-06-30,ols,45,0.06930792589788344,169.0
2021-07-13,0.05783884372763201,0.8345199048785605,2021-06-30,ols,45,0.06930792589788344,169.22
2021-07-14,0.02095607662648699,0.3023619067372345,2021-06-30,ols,45,0.06930792589788344,171.04
2021-07-15,0.019452389849949236,0.28066616621322504,2021-06-30,ols,45,0.06930792589788344,171.07
2021-07-16,0.0023442774510196718,0.03382408895735347,2021-06-30,ols,45,0.06930792589788344,169.41
2021-07-19,-0.018522676388426577,0.0,2021-06-30,ols,45,0.06930792589788344,169.61
2021-07-20,0.010227412373949751,0.14756483102695303,2021-06-30,ols,45,0.06930792589788344,169.39
2021-07-21,0.017272163311948127,0.24920906358381723,2021-06-30,ols,45,0.06930792589788344,168.76
2021-07-22,0.011542843214193993,0.1665443463306192,2021-06-30,ols,45,0.06930792589788344,169.09
2021-07-23,0.014614046066229402,0.21085677975360814,2021-06-30,ols,45,0.06930792589788344,168.56
2021-07-26,0.014332902496213398,0.2068003379199536,2021-06-30,ols,45,0.06930792589788344,168.16
2021-07-27,0.007742810719587226,0.11171609335121771,2021-06-30,ols,45,0.06930792589788344,168.44
2021-07-28,-0.027032453450145905,0.0,2021-06-30,ols,45,0.06930792589788344,169.29
2021-07-29,-0.04326404077063409,0.0,2021-06-30,ols,45,0.06930792589788344,171.17
2021-07-30,-0.011730536720659178,0.0,2021-06-30,ols,45,0.06930792589788344,169.82
2021-08-02,-0.03657839184488728,0.0,2021-06-30,ols,45,0.06930792589788344,169.61
2021-08-03,-0.04150013020137748,0.0,2021-06-30,ols,45,0.06930792589788344,169.49
2021-08-04,-0.04979109457168365,0.0,2021-06-30,ols,45,0.06930792589788344,169.53
2021-08-05,-0.03407943763788128,0.0,2021-06-30,ols,45,0.06930792589788344,168.86
2021-08-06,-0.0339084365344433,0.0,2021-06-30,ols,45,0.06930792589788344,164.64
2021-08-09,-0.023592895312713386,0.0,2021-06-30,ols,45,0.06930792589788344,161.72
2021-08-10,-0.015135989205663364,0.0,2021-06-30,ols,45,0.06930792589788344,161.77
2021-08-11,-0.04704928330547675,0.0,2021-06-30,ols,45,0.06930792589788344,164.0
2021-08-12,-0.02053209623886002,0.0,2021-06-30,ols,45,0.06930792589788344,164.04
2021-08-13,-0.07571316134979417,0.0,2021-06-30,ols,45,0.06930792589788344,166.39
2021-08-16,-0.03124704118513024,0.0,2021-06-30,ols,45,0.06930792589788344,167.22
2021-08-17,-0.035073420307665686,0.0,2021-06-30,ols,45,0.06930792589788344,166.97
2021-08-18,0.016777732706039633,0.24207523870732364,2021-06-30,ols,45,0.06930792589788344,167.1
