target_horizon_days,selection_rows,evaluation_rows,selection_correlation,selection_directional_accuracy,selection_long_short_strategy_return,evaluation_correlation,evaluation_directional_accuracy,evaluation_long_short_strategy_return
57,174,172,0.4555779963354541,0.8850574712643678,119350.17299526853,0.13586004771620133,0.9418604651162791,83606688.06901808
37,194,192,0.3080615967658672,0.7731958762886598,5233.110385870896,0.1358002633856769,0.8854166666666666,639925.7585513499
56,175,173,0.4611707373075237,0.8685714285714285,105695.71460712666,0.1357379801242853,0.930635838150289,69022177.04508519
52,179,177,0.432948890162529,0.8547486033519553,66649.46668591765,0.13455154923743043,0.943502824858757,28670217.597412497
50,181,179,0.3844825423584222,0.856353591160221,52145.77068349693,0.13438161703521076,0.9273743016759777,17207601.129491486
53,178,176,0.4515274530372093,0.8707865168539326,75014.54187997886,0.13343172836898567,0.9318181818181818,36016058.32679792
51,180,178,0.40839441132707854,0.8666666666666667,59301.64344712506,0.13250759185479877,0.9438202247191011,22562345.890768155
31,200,198,0.2978003719675894,0.755,1696.3561030668966,0.1324114048662941,0.8888888888888888,103034.37748114069
30,201,199,0.2712689168822297,0.7512437810945274,1431.7697169934916,0.12958032247395684,0.8793969849246231,77933.2794664966
41,190,188,0.2784943167404535,0.8157894736842105,11879.714535553478,0.12549511629268395,0.898936170212766,1691409.4078435765
3,228,226,0.24694300443771766,0.6271929824561403,1.5577589614541427,0.12177556175558897,0.5176991150442478,0.7839127700588084
29,202,200,0.2279159523794716,0.7722772277227723,1189.6566543599724,0.1191924647386027,0.86,58282.64065564416
39,192,190,0.29338876943160763,0.8072916666666666,7956.342152455929,0.11105985697328195,0.9052631578947369,1048977.540918444
38,193,191,0.3030204912399993,0.7979274611398963,6376.806594963684,0.1091068118014995,0.9162303664921466,824676.8444796628
40,191,189,0.28551886551170674,0.806282722513089,9778.57814702232,0.10281736119803735,0.8888888888888888,1321645.5728190385
28,203,201,0.19277752215803334,0.7881773399014779,983.7819621405268,0.1015561009713251,0.8507462686567164,43013.80658906665
27,204,202,0.15739603879148573,0.7647058823529411,803.3070403730511,0.07188515600353707,0.8613861386138614,31583.354716752616
26,205,203,0.1367335997181708,0.7658536585365854,657.6800541447997,0.06103190343785908,0.8522167487684729,23217.00708905372
4,227,225,0.23455861149159346,0.6299559471365639,2.3264598218055528,0.05901688653434689,0.5288888888888889,1.1256115133893045
5,226,224,0.2421880148899343,0.6106194690265486,3.5737265823706403,0.03846583421595344,0.5401785714285714,1.1404678647499695
6,225,223,0.24107337991992997,0.6355555555555555,4.604353393165013,0.029783027817910143,0.5874439461883408,2.7102628795643207
7,224,222,0.22778313408579193,0.6383928571428571,4.420631633785165,0.015160638851816502,0.6396396396396397,7.238232631726046
15,216,214,0.20354943053787203,0.6898148148148148,48.01406078355025,0.012951943325906623,0.7523364485981309,410.7289138977602
11,220,218,0.11710453180422593,0.6181818181818182,15.4896254798355,0.008108570696194936,0.7293577981651376,92.98081628251423
13,218,216,0.13341176106209823,0.6880733944954128,27.514620955136753,0.0048391421714602065,0.7175925925925926,199.48870498515717
17,214,212,0.2193659533847449,0.7149532710280374,93.68803111494098,0.0040647429007939035,0.75,801.8299458252227
12,219,217,0.11526523692780466,0.6712328767123288,20.61774502773972,0.0031756961638524507,0.7235023041474654,136.26560789925497
8,223,221,0.22416216457928853,0.6233183856502242,5.325951923375173,0.0016255285475802901,0.6877828054298643,12.24670427332824
