Date,Price,Price_Norm,MA,Sigma,Upper,Lower,UpperBreak,LowerBreak
2024-01-05,2042.4000244140625,0.09708901645043069,0.0840484441555037,0.04390579378416783,0.17186003172383935,0.031361491614502295,0,0
2024-01-08,2026.5999755859373,0.07358178265328388,0.08380295434661571,0.043949881400408744,0.17170271714743318,0.031063096666125216,0,0
2024-01-09,2026.4000244140625,0.07328429629761472,0.08589330451887886,0.04237753977149103,0.17064838406186092,0.03504025679308963,0,0
2024-01-10,2021.699951171875,0.06629155078336398,0.08914413298243574,0.03803270171099247,0.16520953640442068,0.04350489092924478,0,0
2024-01-11,2014.300048828125,0.055282013005167996,0.09185935887486632,0.03328330369693154,0.1584259662687294,0.051919394438548476,0,0
2024-01-12,2046.699951171875,0.10348642602213894,0.09665005154099646,0.027151726555722254,0.15095350465244095,0.06406797967412975,0,0
2024-01-16,2026.0,0.07268914197067397,0.0963376182213028,0.02738866046071315,0.1511149391427291,0.06347122566844701,0,0
2024-01-17,2002.5999755859373,0.03787470242405992,0.09496140783746812,0.02951745602146291,0.15399631988039394,0.05954046061171263,0,1
2024-01-18,2018.5999755859373,0.0616794225768759,0.09438860131032292,0.030041941233846486,0.1544724837780159,0.05833827182970714,0,0
2024-01-19,2026.5,0.07343303947544948,0.09350336146348405,0.030383597359119188,0.15427055618172242,0.05704304463254103,0,0
2024-01-22,2019.800048828125,0.06346488555769848,0.09240983576377611,0.031044273411899657,0.15449838258757542,0.05515670766949652,0,0
2024-01-23,2023.699951171875,0.06926714080246597,0.09126423179026584,0.031451725875331966,0.15416768354092977,0.05352216073986748,0,0
2024-01-24,2013.9000244140625,0.05468685867822724,0.08805058912116763,0.03173998725822256,0.15153056363761275,0.049962604411300564,0,0
2024-01-25,2016.9000244140625,0.05915024370688024,0.08497829787491287,0.031413196336478294,0.14780469054786946,0.04728246227113892,0,0
2024-01-26,2016.800048828125,0.059001500529045486,0.08013553601576048,0.02731096116908768,0.13475745835393585,0.04736238261285527,0,0
2024-01-29,2025.199951171875,0.07149883331679247,0.07651275879981582,0.023083576187694365,0.12267991117520455,0.048812467374582585,0,0
2024-01-30,2031.5,0.08087201452320446,0.07421412277468362,0.02004625965159679,0.11430664207787719,0.05015861119276747,0,0
2024-01-31,2048.39990234375,0.10601560489213493,0.0730238867670428,0.017216274015087598,0.107456434797218,0.05236435794893768,0,0
2024-02-01,2053.0,0.11285960722855093,0.07442241770833277,0.019150702377770105,0.11272382246387298,0.05144157485500865,1,0
2024-02-02,2036.0999755859373,0.08771583524401837,0.0739611958069039,0.018708814298287905,0.11137882440347971,0.05151061864895841,0,0
2024-02-05,2025.699951171875,0.07224273082156797,0.07271888152546077,0.017940993266351526,0.10860086805816382,0.051189689605838945,0,0
2024-02-06,2034.5,0.08533539955185745,0.07330656237038945,0.01815090816035049,0.10960837869109043,0.051525472577968856,0,0
2024-02-07,2035.199951171875,0.08637678341230245,0.07396118672612383,0.018373035762053173,0.11070725825023017,0.05191354381166002,0,0
2024-02-08,2032.199951171875,0.08191339838364946,0.07474227910613811,0.01836243599158766,0.11146715108931343,0.05270735591623292,0,0
2024-02-09,2023.300048828125,0.06867216809112697,0.07541178686043606,0.01787842357320109,0.11116863400683824,0.05395767857259476,0,0
2024-02-12,2018.199951171875,0.061084268249935486,0.07329167897182588,0.016911469282033225,0.10711461753589233,0.05299791583338601,0,0
2024-02-13,1992.9000244140625,0.023443163477656282,0.070829380047175,0.02010374217874714,0.11103686440466928,0.046704889432678434,0,1
2024-02-14,1990.300048828125,0.019574932775944034,0.06991439156476921,0.02191742742792579,0.11374924642062079,0.04361347865125827,0,1
2024-02-15,2002.0999755859373,0.03713080491928442,0.06868696068188963,0.023004662145783877,0.11469628497345738,0.041081366106948985,0,1
2024-02-16,2011.5,0.0511161143321845,0.06757111442472638,0.023286902680445566,0.11414491978561751,0.0396268312081917,0,0
2024-02-20,2027.5,0.07492083448500046,0.06814391187109148,0.02331972562031516,0.1147833631117218,0.04016024112671329,0,0
2024-02-21,2022.300048828125,0.06718437308157597,0.06803977348504697,0.0233191275946625,0.11467802867437196,0.04005682037145197,0,0
2024-02-22,2019.699951171875,0.06331596076426198,0.0684712285893487,0.023147273314761452,0.1147657752188716,0.04069450061163496,0,0
2024-02-23,2038.5999755859373,0.09143532276789586,0.07008548254239949,0.02356297708687161,0.1172114367161427,0.04180991003815356,0,0
2024-02-26,2028.5,0.07640862949455146,0.0709558389906748,0.023458745604884656,0.1178733302004441,0.042805344264813215,0,0
2024-02-27,2034.0,0.08459150204708196,0.07161047242718926,0.023646691600009928,0.11890385562720912,0.043234442507177354,0,0
2024-02-28,2033.0,0.08310370703753096,0.0717220570529056,0.02369534735951109,0.11911275177192779,0.0432876402214923,0,0
2024-02-29,2045.699951171875,0.10199863101258794,0.07152120835892825,0.023419229740893395,0.11835966784071504,0.04341813266985618,0,0
2024-03-01,2086.89990234375,0.16329571275984836,0.07404301363549312,0.029627447437306758,0.13329790851010664,0.03849007671072501,1,0
2024-03-04,2117.699951171875,0.2091198717002598,0.08011321545830519,0.04175977571989905,0.1636327668981033,0.03000148459442633,1,0
2024-03-05,2133.5,0.23262710549740628,0.08813243419209711,0.053286941227640515,0.19470631664737814,0.024188104718928502,1,0
2024-03-06,2150.300048828125,0.25762213430410374,0.09674677092970943,0.06481695812079623,0.2263806871713019,0.01896642118475396,1,0
2024-03-07,2158.0,0.26907808323140575,0.10588183592066458,0.0748152115252628,0.2555122589711902,0.01610358209034922,1,0
2024-03-08,2178.60009765625,0.2997268057206377,0.11677250628751398,0.08560828517421572,0.2879890766359454,0.014042564078455125,1,0
2024-03-11,2182.5,0.30552906096540516,0.12861535093122792,0.09409726479116075,0.3168098805135494,0.015698633181835023,0,0
2024-03-12,2160.39990234375,0.27264864596184674,0.13919356981682346,0.09773256199368663,0.3346586938041967,0.021914495424399508,0,0
2024-03-13,2175.39990234375,0.2949655711051117,0.15276969019819625,0.0995524013779887,0.3518744929541736,0.03330680854460982,0,0
2024-03-14,2163.0,0.27651705827916073,0.1656167964733571,0.09810331730165205,0.36182343107666115,0.04789281571137463,0,0
2024-03-15,2157.300048828125,0.26803669937096075,0.1771620911959409,0.0958646251729669,0.3688913415418747,0.06212454098838062,0,0
2024-03-18,2160.699951171875,0.2730950571109527,0.1882610383348793,0.09344847251424802,0.37515798336337536,0.07612287131778168,0,0
2024-03-19,2156.300048828125,0.26654890436140977,0.19784244182869976,0.09113157043663643,0.3801055827019726,0.08848455730473605,0,0
2024-03-20,2157.89990234375,0.2689291584379692,0.20792968109651944,0.0871911707208899,0.3823120225382992,0.10330027623145156,0,0
2024-03-21,2182.39990234375,0.3053801361719687,0.22003288986690475,0.08297581420777804,0.38598451828246083,0.12046191281757111,0,0
2024-03-22,2158.10009765625,0.26922700802484223,0.2289224741297521,0.07810312019986872,0.38512871452948955,0.13519872988990966,0,0
2024-03-25,2174.800048828125,0.2940731120381032,0.23980569825692966,0.07092855178470497,0.3816628018263396,0.1546914361152837,0,0
2024-03-26,2175.60009765625,0.2952634206919847,0.25033929418917483,0.062202157749089,0.3747436096873528,0.17569670489026804,0,0
2024-03-27,2190.60009765625,0.3175803458352497,0.26206312612906074,0.05058993046164115,0.36324298705234304,0.20135520957509137,0,0
2024-03-28,2217.39990234375,0.3574529615062536,0.274835842653744,0.039624836674914864,0.35408551600357374,0.22728603864384617,1,0
2024-04-01,2236.5,0.3858699914811591,0.28596455658980957,0.03795587555434651,0.3618763076985026,0.24041750592459377,1,0
2024-04-02,2261.0,0.42232096921515855,0.2966246114655545,0.04428780873510479,0.3852002289357641,0.24347924098342877,1,0
2024-04-03,2294.39990234375,0.4720131772416805,0.30859391505276823,0.05613750249109392,0.4208689200349561,0.24122891206345554,1,0
2024-04-04,2288.800048828125,0.463681743126917,0.31889689549390887,0.06417143740925906,0.447239770312427,0.24189117060279802,1,0
2024-04-05,2325.699951171875,0.5185812336868675,0.331372053016682,0.07636713866034392,0.48410633033736983,0.2397314866242693,1,0
2024-04-08,2331.699951171875,0.5275080037441734,0.34276111291785877,0.08703805866575338,0.5168372302493656,0.2383154425189547,1,0
2024-04-09,2343.5,0.5450640575031159,0.3547378627447443,0.09700099950336166,0.5487398617514676,0.2383366633407103,0,0
2024-04-10,2329.60009765625,0.5243838521628384,0.36732462305479385,0.1017488254488932,0.5708222739525802,0.24522603251612202,0,0
2024-04-11,2354.800048828125,0.5618762137572829,0.38067015518740244,0.10865286330611601,0.5979758817996345,0.25028671922006324,0,0
2024-04-12,2356.199951171875,0.5639589814781729,0.39504225134735305,0.11285492399076029,0.6207520993288737,0.2596163425584407,0,0
2024-04-15,2365.800048828125,0.5782419588623439,0.41055251432192214,0.11561683156641853,0.6417861774547592,0.2718123164422199,0,0
2024-04-16,2390.800048828125,0.6154368341011188,0.42766960317143055,0.1192828931917719,0.6662353895549744,0.2845301313413042,0,0
2024-04-17,2371.699951171875,0.5870198041262134,0.4436931481596706,0.11808168766652437,0.6798565234927193,0.3019951229598413,0,0
2024-04-18,2382.300048828125,0.6027905765199353,0.460386219063769,0.11577177258008788,0.6919297642239447,0.32146009196766356,0,0
2024-04-19,2398.39990234375,0.6267438582349844,0.4764544051669198,0.11544399352304228,0.7073423922130043,0.33792161293926903,0,0
2024-04-22,2332.199951171875,0.5282519012489489,0.48940564982812507,0.1055773187099307,0.7005602872479865,0.3627128673762082,0,0
2024-04-23,2327.699951171875,0.5215568237059695,0.5007798354115185,0.09571386007995149,0.6922075555714214,0.3859232033155767,0,0
2024-04-24,2324.5,0.516795952321647,0.5118564619930016,0.08330322514203371,0.678462912277069,0.41189259182256116,0,0
2024-04-25,2329.800048828125,0.524681338518508,0.5222115116271644,0.07037942649358656,0.6629703646143374,0.4377561998348605,0,0
2024-04-26,2334.800048828125,0.5321203135662629,0.5309448792301649,0.05936861283349349,0.6496821048971518,0.45970254382997267,0,0
2024-04-29,2345.39990234375,0.5478907227287814,0.539045915792546,0.04920393606423077,0.6374537879210076,0.4800011925154691,0,0
2024-04-30,2291.39990234375,0.4675497922130275,0.5413073569424395,0.044612356301911286,0.6305320695462621,0.4877725293801459,0,1
2024-05-01,2299.89990234375,0.480196049794211,0.5417165005700659,0.04400841240432176,0.6297333253787094,0.4889064056848798,0,1
2024-05-02,2299.199951171875,0.479154665933766,0.5424901467104084,0.04274774641066862,0.6279856395317457,0.49119285101760607,0,1
2024-05-03,2299.0,0.4788571795780965,0.5405039440049698,0.04469117072989318,0.6298862854647562,0.486874539129098,0,1
2024-05-06,2321.60009765625,0.5124814920864305,0.5397526184220827,0.04502837348261859,0.6298093653873198,0.48571857024294035,0,0
2024-05-07,2315.199951171875,0.502959386086582,0.5376473848512561,0.045709943536735756,0.6290672719247276,0.48279545260717316,0,0
2024-05-08,2313.60009765625,0.5005791320100225,0.5364571488436153,0.04634532317121031,0.6291477951860359,0.4808427610381629,0,0
2024-05-09,2332.10009765625,0.528103339686716,0.5347685051400869,0.046002394781181545,0.62677329470245,0.47956563140266906,0,0
2024-05-10,2367.300048828125,0.5804736513766704,0.5355942386350117,0.04666242936219888,0.6289190973594094,0.479599323400373,0,0
2024-05-13,2336.10009765625,0.5340545197249199,0.5333848666781406,0.0456254109485607,0.624635688575262,0.4786343735398677,0,0
2024-05-14,2353.39990234375,0.5597930828051894,0.530602679113344,0.04209727999088408,0.6147972390951122,0.48008594312428315,0,0
2024-05-15,2388.699951171875,0.6123123192885803,0.5318673048714625,0.04410510593418004,0.6200775167398226,0.4789411777504465,0,0
2024-05-16,2380.0,0.5993685753517274,0.531696204813052,0.0438354496611087,0.6193671041352694,0.4790936652197216,0,0
