Date,combined_score,adaptive_band_rank01_score,ma_crossover_rank01_score,adaptive_volatility_band_rank01_score,fear_greed_candle_volume_rank01_score,predicted_future_return,portfolio_weight,active_anchor_date,active_model_name,active_hold_days,prediction_scale,price
2020-04-23,0.7607248686685133,-0.46814243430716407,1.0,0.7607248686685133,0,0.7607248686685133,0.7607248686685133,2020-02-28,obj1_long_only_combination,130,1.0,163.34
2020-04-24,-0.6044615738185198,-0.9225010235029989,0.9597037298298232,-0.6044615738185198,0,-0.6044615738185198,0.0,2020-02-28,obj1_long_only_combination,130,1.0,162.64
2020-04-27,1.0,-1.0,0.6533815360197476,1.0,0,1.0,1.0,2020-02-28,obj1_long_only_combination,130,1.0,161.56
2020-04-28,0.43940877571917614,-1.0,0.4163653998765599,0.43940877571917614,0,0.43940877571917614,0.43940877571917614,2020-02-28,obj1_long_only_combination,130,1.0,160.84
2020-04-29,0.08719200863082864,-1.0,0.20932898333480632,0.08719200863082864,0,0.08719200863082864,0.08719200863082864,2020-02-28,obj1_long_only_combination,130,1.0,161.73
2020-04-30,-0.7330061229441335,-1.0,-0.09099726655496147,-0.7330061229441335,0,-0.7330061229441335,0.0,2020-02-28,obj1_long_only_combination,130,1.0,158.8
2020-05-01,-1.0,-1.0,-0.06562915986714096,-1.0,0,-1.0,0.0,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,159.78
2020-05-04,-1.0,-1.0,0.006191430176140536,1.0,0,-1.0,0.0,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,160.34
2020-05-05,-1.0,-1.0,0.19281882548568544,0.6371019054104018,0,-1.0,0.0,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,161.02
2020-05-06,-1.0,-1.0,0.1478867322073843,0.5449953079510451,0,-1.0,0.0,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,158.95
2020-05-07,-1.0,-1.0,0.05572287158532515,-1.0,0,-1.0,0.0,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,161.39
2020-05-08,-1.0,-1.0,-0.12754346162860664,-0.6250996495565614,0,-1.0,0.0,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,160.42
2020-05-11,-1.0,-1.0,-0.23120569257778392,0.6513528681965383,0,-1.0,0.0,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,159.42
2020-05-12,-1.0,-1.0,-0.32425404322503615,1.0,0,-1.0,0.0,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,160.04
2020-05-13,0.16907070791467874,0.16907070791467874,-0.3269075133005099,1.0,0,0.16907070791467874,0.17161658322827372,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,161.58
2020-05-14,0.9213921848952016,0.9213921848952016,-0.09181006461199698,-0.9762956136180456,0,0.9213921848952016,0.9352665552494549,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,163.01
2020-05-15,0.7389667907832822,0.7389667907832822,0.08278826635532902,-0.8622427819399848,0,0.7389667907832822,0.7500941902803676,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,163.93
2020-05-18,-0.567362424551753,-0.567362424551753,0.16752241076599236,-1.0,0,-0.567362424551753,0.0,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,162.69
2020-05-19,0.15080327210732022,0.15080327210732022,0.2184690362154256,0.9799739821139924,0,0.15080327210732022,0.15307407544399948,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,164.26
2020-05-20,0.041353278624777695,0.041353278624777695,0.41765618988233544,1.0,0,0.041353278624777695,0.04197597839628493,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,164.65
2020-05-21,-1.0,-1.0,0.3412362517081856,-1.0,0,-1.0,0.0,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,162.25
2020-05-22,-1.0,-1.0,0.36794785046811224,1.0,0,-1.0,0.0,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,163.21
2020-05-26,-1.0,-1.0,0.4265010901339648,-1.0,0,-1.0,0.0,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,160.89
2020-05-27,-1.0,-1.0,0.48133947169411195,-1.0,0,-1.0,0.0,2020-04-30,obj1_long_only_combination,130,0.9851653303794737,161.18
