Date,adaptive_band_rank01_score,predicted_future_return,portfolio_weight,active_anchor_date,active_strategy_key,active_hold_days,prediction_scale,price
2024-04-02,-1.0,-1.0,0.0,2024-03-28,adaptive_band,130,0.9691787042756418,210.89
2024-04-03,-1.0,-1.0,0.0,2024-03-28,adaptive_band,130,0.9691787042756418,212.74
2024-04-04,-1.0,-1.0,0.0,2024-03-28,adaptive_band,130,0.9691787042756418,211.52
2024-04-05,-1.0,-1.0,0.0,2024-03-28,adaptive_band,130,0.9691787042756418,215.14
2024-04-08,-1.0,-1.0,0.0,2024-03-28,adaptive_band,130,0.9691787042756418,216.48
2024-04-09,-1.0,-1.0,0.0,2024-03-28,adaptive_band,130,0.9691787042756418,217.67
2024-04-10,-1.0,-1.0,0.0,2024-03-28,adaptive_band,130,0.9691787042756418,215.61
2024-04-11,-1.0,-1.0,0.0,2024-03-28,adaptive_band,130,0.9691787042756418,219.8
2024-04-12,-1.0,-1.0,0.0,2024-03-28,adaptive_band,130,0.9691787042756418,216.89
2024-04-15,-1.0,-1.0,0.0,2024-03-28,adaptive_band,130,0.9691787042756418,220.95
2024-04-16,-1.0,-1.0,0.0,2024-03-28,adaptive_band,130,0.9691787042756418,221.22
2024-04-17,-1.0,-1.0,0.0,2024-03-28,adaptive_band,130,0.9691787042756418,219.59
2024-04-18,-1.0,-1.0,0.0,2024-03-28,adaptive_band,130,0.9691787042756418,220.34
2024-04-19,-1.0,-1.0,0.0,2024-03-28,adaptive_band,130,0.9691787042756418,221.05
2024-04-22,-0.8187390382325797,-0.8187390382325797,0.0,2024-03-28,adaptive_band,130,0.9691787042756418,215.57
2024-04-23,-0.6901966641819549,-0.6901966641819549,0.0,2024-03-28,adaptive_band,130,0.9691787042756418,215.04
2024-04-24,-0.5833643470636608,-0.5833643470636608,0.0,2024-03-28,adaptive_band,130,0.9691787042756418,214.64
2024-04-25,-0.6733347870668723,-0.6733347870668723,0.0,2024-03-28,adaptive_band,130,0.9691787042756418,215.92
2024-04-26,-0.6886599422264255,-0.6886599422264255,0.0,2024-03-28,adaptive_band,130,0.9691787042756418,216.62
2024-04-29,-0.5735764027904664,-0.5735764027904664,0.0,2024-03-28,adaptive_band,130,0.9691787042756418,216.18
2024-04-30,-0.02942789306521332,-0.02942789306521332,0.0,2024-03-28,adaptive_band,130,0.9691787042756418,211.87
2024-05-01,-0.2073883786522676,-0.2073883786522676,0.0,2024-03-28,adaptive_band,130,0.9691787042756418,213.79
2024-05-02,-0.08966039960503021,-0.08966039960503021,0.0,2024-03-28,adaptive_band,130,0.9691787042756418,213.13
2024-05-03,-0.03068919046843236,-0.03068919046843236,0.0,2024-03-28,adaptive_band,130,0.9691787042756418,212.96
2024-05-06,-0.2379675709124979,-0.2379675709124979,0.0,2024-03-28,adaptive_band,130,0.9691787042756418,215.2
2024-05-07,-0.08460146022572304,-0.08460146022572304,0.0,2024-03-28,adaptive_band,130,0.9691787042756418,214.21
2024-05-08,0.02348774310147238,0.02348774310147238,0.024234687573977367,2024-03-28,adaptive_band,130,0.9691787042756418,213.58
2024-05-09,-0.30243587084506995,-0.30243587084506995,0.0,2024-03-28,adaptive_band,130,0.9691787042756418,216.95
2024-05-10,-0.4409525706051031,-0.4409525706051031,0.0,2024-03-28,adaptive_band,130,0.9691787042756418,218.71
2024-05-13,-0.1303792637688635,-0.1303792637688635,0.0,2024-03-28,adaptive_band,130,0.9691787042756418,216.26
2024-05-14,-0.2808178514075672,-0.2808178514075672,0.0,2024-03-28,adaptive_band,130,0.9691787042756418,218.09
2024-05-15,-0.5238939758565058,-0.5238939758565058,0.0,2024-03-28,adaptive_band,130,0.9691787042756418,220.89
2024-05-16,-0.3828372624162503,-0.3828372624162503,0.0,2024-03-28,adaptive_band,130,0.9691787042756418,220.03
2024-05-17,-0.701075564901774,-0.701075564901774,0.0,2024-03-28,adaptive_band,130,0.9691787042756418,223.66
2024-05-20,-0.7311736441811415,-0.7311736441811415,0.0,2024-03-28,adaptive_band,130,0.9691787042756418,224.56
2024-05-21,-0.6367243348819397,-0.6367243348819397,0.0,2024-03-28,adaptive_band,130,0.9691787042756418,224.23
2024-05-22,-0.17234455894960027,-0.17234455894960027,0.0,2024-03-28,adaptive_band,130,0.9691787042756418,220.11
2024-05-23,0.3031761704755982,0.3031761704755982,0.31281761468561176,2024-03-28,adaptive_band,130,0.9691787042756418,215.72
2024-05-24,0.3112693884266289,0.3112693884266289,0.3211682087662767,2024-03-28,adaptive_band,130,0.9691787042756418,215.92
