Date,adaptive_volatility_band_rank01_score,predicted_future_return,portfolio_weight,active_anchor_date,active_strategy_key,active_hold_days,prediction_scale,price
2023-03-24,1.0,1.0,1.0,2023-02-28,adaptive_volatility_band,45,1.0,183.65
2023-03-27,1.0,1.0,1.0,2023-02-28,adaptive_volatility_band,45,1.0,181.95
2023-03-28,1.0,1.0,1.0,2023-02-28,adaptive_volatility_band,45,1.0,183.44
2023-03-29,1.0,1.0,1.0,2023-02-28,adaptive_volatility_band,45,1.0,182.53
2023-03-30,0.7879832942600179,0.7879832942600179,0.7879832942600179,2023-02-28,adaptive_volatility_band,45,1.0,184.18
2023-03-31,0.936197677905295,0.936197677905295,0.936197677905295,2023-02-28,adaptive_volatility_band,45,1.0,183.22
2023-04-03,0.5552809991390572,0.5552809991390572,0.5729990176111164,2023-03-31,adaptive_volatility_band,45,0.9690784487800219,184.54
2023-04-04,-0.7596251381253984,-0.7596251381253984,0.0,2023-03-31,adaptive_volatility_band,45,0.9690784487800219,187.98
2023-04-05,0.19278337158711606,0.19278337158711606,0.19893474241410702,2023-03-31,adaptive_volatility_band,45,0.9690784487800219,187.83
2023-04-06,0.7751464126534334,0.7751464126534334,0.7998799412258826,2023-03-31,adaptive_volatility_band,45,0.9690784487800219,186.49
2023-04-10,0.7808779419856323,0.7808779419856323,0.8057943533556894,2023-03-31,adaptive_volatility_band,45,0.9690784487800219,185.11
2023-04-11,0.9558263554000314,0.9558263554000314,0.9863250561431083,2023-03-31,adaptive_volatility_band,45,0.9690784487800219,186.28
2023-04-12,0.2645877118994212,0.2645877118994212,0.2730302301454667,2023-03-31,adaptive_volatility_band,45,0.9690784487800219,187.19
2023-04-13,0.5570349578234463,0.5570349578234463,0.5748089419640903,2023-03-31,adaptive_volatility_band,45,0.9690784487800219,189.72
2023-04-14,-0.8256625060328975,-0.8256625060328975,0.0,2023-03-31,adaptive_volatility_band,45,0.9690784487800219,186.36
2023-04-17,0.2909926125811795,0.2909926125811795,0.3002776637407546,2023-03-31,adaptive_volatility_band,45,0.9690784487800219,185.53
2023-04-18,0.2228131199190519,0.2228131199190519,0.22992268603181976,2023-03-31,adaptive_volatility_band,45,0.9690784487800219,186.25
2023-04-19,0.6217847379420262,0.6217847379420262,0.6416247711676948,2023-03-31,adaptive_volatility_band,45,0.9690784487800219,185.36
2023-04-20,0.5971148400793324,0.5971148400793324,0.6161677012124699,2023-03-31,adaptive_volatility_band,45,0.9690784487800219,186.09
2023-04-21,-0.44185163272439165,-0.44185163272439165,0.0,2023-03-31,adaptive_volatility_band,45,0.9690784487800219,184.25
2023-04-24,0.42899436786472916,0.42899436786472916,0.44268280695416606,2023-03-31,adaptive_volatility_band,45,0.9690784487800219,184.81
2023-04-25,0.19408697383892515,0.19408697383892515,0.20027994027032825,2023-03-31,adaptive_volatility_band,45,0.9690784487800219,185.75
2023-04-26,-0.1903388166116507,-0.1903388166116507,0.0,2023-03-31,adaptive_volatility_band,45,0.9690784487800219,184.74
2023-04-27,0.6118841481672904,0.6118841481672904,0.6314082713712132,2023-03-31,adaptive_volatility_band,45,0.9690784487800219,184.75
2023-04-28,1.0,1.0,1.0,2023-03-31,adaptive_volatility_band,45,0.9690784487800219,184.8
2023-05-01,-0.5972035698810816,-0.5972035698810816,0.0,2023-04-28,adaptive_volatility_band,45,1.0,183.97
2023-05-02,-0.9233889075700349,-0.9233889075700349,0.0,2023-04-28,adaptive_volatility_band,45,1.0,187.52
2023-05-03,-0.04134208737049691,-0.04134208737049691,0.0,2023-04-28,adaptive_volatility_band,45,1.0,189.11
2023-05-04,-0.13959886584500192,-0.13959886584500192,0.0,2023-04-28,adaptive_volatility_band,45,1.0,190.44
2023-05-05,1.0,1.0,1.0,2023-04-28,adaptive_volatility_band,45,1.0,187.46
2023-05-08,1.0,1.0,1.0,2023-04-28,adaptive_volatility_band,45,1.0,187.69
2023-05-09,0.8215222821288909,0.8215222821288909,0.8215222821288909,2023-04-28,adaptive_volatility_band,45,1.0,189.02
2023-05-10,-0.03493107166177622,-0.03493107166177622,0.0,2023-04-28,adaptive_volatility_band,45,1.0,188.75
2023-05-11,-0.6582680238122897,-0.6582680238122897,0.0,2023-04-28,adaptive_volatility_band,45,1.0,187.13
2023-05-12,0.4605136102500838,0.4605136102500838,0.4605136102500838,2023-04-28,adaptive_volatility_band,45,1.0,186.81
2023-05-15,1.0,1.0,1.0,2023-04-28,adaptive_volatility_band,45,1.0,187.21
2023-05-16,-0.8388523959289713,-0.8388523959289713,0.0,2023-04-28,adaptive_volatility_band,45,1.0,184.87
2023-05-17,0.7141587727915064,0.7141587727915064,0.7141587727915064,2023-04-28,adaptive_volatility_band,45,1.0,184.23
2023-05-18,0.511890832707465,0.511890832707465,0.511890832707465,2023-04-28,adaptive_volatility_band,45,1.0,181.84
2023-05-19,-0.8225430577423499,-0.8225430577423499,0.0,2023-04-28,adaptive_volatility_band,45,1.0,183.64
2023-05-22,0.6825617868154223,0.6825617868154223,0.6825617868154223,2023-04-28,adaptive_volatility_band,45,1.0,183.21
2023-05-23,0.16148606003721414,0.16148606003721414,0.16148606003721414,2023-04-28,adaptive_volatility_band,45,1.0,183.43
2023-05-24,-0.22837552886855653,-0.22837552886855653,0.0,2023-04-28,adaptive_volatility_band,45,1.0,181.95
