Date,adaptive_band_rank01_score,predicted_future_return,portfolio_weight,active_anchor_date,active_strategy_key,active_hold_days,prediction_scale,price
2022-01-28,1.0,1.0,1.0,2021-12-31,adaptive_band,45,0.974672926818831,167.1
2022-01-31,0.16225104515101813,0.16225104515101813,0.1664671713828949,2021-12-31,adaptive_band,45,0.974672926818831,168.09
2022-02-01,1.0,1.0,1.0,2022-01-31,adaptive_band,45,1.0,168.23
2022-02-02,1.0,1.0,1.0,2022-01-31,adaptive_band,45,1.0,168.84
2022-02-03,1.0,1.0,1.0,2022-01-31,adaptive_band,45,1.0,168.6
2022-02-04,1.0,1.0,1.0,2022-01-31,adaptive_band,45,1.0,168.86
2022-02-07,1.0,1.0,1.0,2022-01-31,adaptive_band,45,1.0,170.11
2022-02-08,1.0,1.0,1.0,2022-01-31,adaptive_band,45,1.0,170.63
2022-02-09,0.2363962979737283,0.2363962979737283,0.2363962979737283,2022-01-31,adaptive_band,45,1.0,171.21
2022-02-10,1.0,1.0,1.0,2022-01-31,adaptive_band,45,1.0,170.56
2022-02-11,-1.0,-1.0,0.0,2022-01-31,adaptive_band,45,1.0,173.81
2022-02-14,-1.0,-1.0,0.0,2022-01-31,adaptive_band,45,1.0,174.74
2022-02-15,-1.0,-1.0,0.0,2022-01-31,adaptive_band,45,1.0,173.08
2022-02-16,-1.0,-1.0,0.0,2022-01-31,adaptive_band,45,1.0,174.86
2022-02-17,-1.0,-1.0,0.0,2022-01-31,adaptive_band,45,1.0,177.25
2022-02-18,-1.0,-1.0,0.0,2022-01-31,adaptive_band,45,1.0,177.12
2022-02-22,-1.0,-1.0,0.0,2022-01-31,adaptive_band,45,1.0,177.49
2022-02-23,-1.0,-1.0,0.0,2022-01-31,adaptive_band,45,1.0,178.29
2022-02-24,-1.0,-1.0,0.0,2022-01-31,adaptive_band,45,1.0,177.14
2022-02-25,-0.786726471634902,-0.786726471634902,0.0,2022-01-31,adaptive_band,45,1.0,176.55
2022-02-28,-1.0,-1.0,0.0,2022-01-31,adaptive_band,45,1.0,178.38
2022-03-01,-1.0,-1.0,0.0,2022-02-28,adaptive_band,45,1.0,181.62
2022-03-02,1.0,1.0,1.0,2022-02-28,adaptive_band,45,1.0,179.73
2022-03-03,1.0,1.0,1.0,2022-02-28,adaptive_band,45,1.0,180.8
2022-03-04,-0.9425645022295565,-0.9425645022295565,0.0,2022-02-28,adaptive_band,45,1.0,183.68
2022-03-07,-1.0,-1.0,0.0,2022-02-28,adaptive_band,45,1.0,186.41
2022-03-08,-1.0,-1.0,0.0,2022-02-28,adaptive_band,45,1.0,191.51
2022-03-09,1.0,1.0,1.0,2022-02-28,adaptive_band,45,1.0,185.82
2022-03-10,1.0,1.0,1.0,2022-02-28,adaptive_band,45,1.0,186.4
2022-03-11,1.0,1.0,1.0,2022-02-28,adaptive_band,45,1.0,185.09
2022-03-14,1.0,1.0,1.0,2022-02-28,adaptive_band,45,1.0,182.3
2022-03-15,1.0,1.0,1.0,2022-02-28,adaptive_band,45,1.0,178.89
2022-03-16,1.0,1.0,1.0,2022-02-28,adaptive_band,45,1.0,180.01
2022-03-17,1.0,1.0,1.0,2022-02-28,adaptive_band,45,1.0,180.89
2022-03-18,1.0,1.0,1.0,2022-02-28,adaptive_band,45,1.0,179.3
2022-03-21,1.0,1.0,1.0,2022-02-28,adaptive_band,45,1.0,180.67
2022-03-22,1.0,1.0,1.0,2022-02-28,adaptive_band,45,1.0,179.36
2022-03-23,-0.3248137484190298,-0.3248137484190298,0.0,2022-02-28,adaptive_band,45,1.0,181.81
2022-03-24,-0.7521155416513774,-0.7521155416513774,0.0,2022-02-28,adaptive_band,45,1.0,183.13
2022-03-25,1.0,1.0,1.0,2022-02-28,adaptive_band,45,1.0,182.38
2022-03-28,1.0,1.0,1.0,2022-02-28,adaptive_band,45,1.0,179.06
2022-03-29,1.0,1.0,1.0,2022-02-28,adaptive_band,45,1.0,179.14
2022-03-30,1.0,1.0,1.0,2022-02-28,adaptive_band,45,1.0,180.58
2022-03-31,1.0,1.0,1.0,2022-02-28,adaptive_band,45,1.0,180.65
2022-04-01,1.0,1.0,1.0,2022-03-31,adaptive_band,45,1.0,179.5
2022-04-04,1.0,1.0,1.0,2022-03-31,adaptive_band,45,1.0,180.37
2022-04-05,1.0,1.0,1.0,2022-03-31,adaptive_band,45,1.0,179.24
2022-04-06,1.0,1.0,1.0,2022-03-31,adaptive_band,45,1.0,179.66
2022-04-07,1.0,1.0,1.0,2022-03-31,adaptive_band,45,1.0,180.34
2022-04-08,-1.0,-1.0,0.0,2022-03-31,adaptive_band,45,1.0,181.47
2022-04-11,-0.5821716064830149,-0.5821716064830149,0.0,2022-03-31,adaptive_band,45,1.0,182.37
2022-04-12,-0.7053276747720235,-0.7053276747720235,0.0,2022-03-31,adaptive_band,45,1.0,183.77
2022-04-13,0.1187995151574773,0.1187995151574773,0.1187995151574773,2022-03-31,adaptive_band,45,1.0,184.65
2022-04-14,1.0,1.0,1.0,2022-03-31,adaptive_band,45,1.0,184.04
2022-04-18,1.0,1.0,1.0,2022-03-31,adaptive_band,45,1.0,184.61
