Date,fear_greed_candle_volume_rank01_score,predicted_future_return,portfolio_weight,active_anchor_date,active_strategy_key,active_hold_days,prediction_scale,price
2021-02-16,0,0,0.0,2021-01-29,fear_greed_candle_volume,45,1.0,168.24
2021-02-17,0,0,0.0,2021-01-29,fear_greed_candle_volume,45,1.0,166.33
2021-02-18,0,0,0.0,2021-01-29,fear_greed_candle_volume,45,1.0,166.32
2021-02-19,0,0,0.0,2021-01-29,fear_greed_candle_volume,45,1.0,167.01
2021-02-22,0,0,0.0,2021-01-29,fear_greed_candle_volume,45,1.0,169.51
2021-02-23,0,0,0.0,2021-01-29,fear_greed_candle_volume,45,1.0,169.12
2021-02-24,0,0,0.0,2021-01-29,fear_greed_candle_volume,45,1.0,169.0
2021-02-25,0,0,0.0,2021-01-29,fear_greed_candle_volume,45,1.0,165.82
2021-02-26,0,0,0.0,2021-01-29,fear_greed_candle_volume,45,1.0,161.81
2021-03-01,0,0,0.0,2021-02-26,fear_greed_candle_volume,45,1.0,161.53
2021-03-02,0,0,0.0,2021-02-26,fear_greed_candle_volume,45,1.0,162.41
2021-03-03,0,0,0.0,2021-02-26,fear_greed_candle_volume,45,1.0,160.62
2021-03-04,0,0,0.0,2021-02-26,fear_greed_candle_volume,45,1.0,159.04
2021-03-05,0,0,0.0,2021-02-26,fear_greed_candle_volume,45,1.0,159.14
2021-03-08,0,0,0.0,2021-02-26,fear_greed_candle_volume,45,1.0,157.49
2021-03-09,0,0,0.0,2021-02-26,fear_greed_candle_volume,45,1.0,160.84
2021-03-10,0,0,0.0,2021-02-26,fear_greed_candle_volume,45,1.0,161.66
2021-03-11,0,0,0.0,2021-02-26,fear_greed_candle_volume,45,1.0,161.52
2021-03-12,0,0,0.0,2021-02-26,fear_greed_candle_volume,45,1.0,161.49
2021-03-15,0,0,0.0,2021-02-26,fear_greed_candle_volume,45,1.0,162.2
2021-03-16,0,0,0.0,2021-02-26,fear_greed_candle_volume,45,1.0,162.35
2021-03-17,0,0,0.0,2021-02-26,fear_greed_candle_volume,45,1.0,163.51
2021-03-18,0,0,0.0,2021-02-26,fear_greed_candle_volume,45,1.0,162.56
2021-03-19,0,0,0.0,2021-02-26,fear_greed_candle_volume,45,1.0,163.24
2021-03-22,0,0,0.0,2021-02-26,fear_greed_candle_volume,45,1.0,163.0
2021-03-23,0,0,0.0,2021-02-26,fear_greed_candle_volume,45,1.0,161.81
2021-03-24,0,0,0.0,2021-02-26,fear_greed_candle_volume,45,1.0,162.37
2021-03-25,0,0,0.0,2021-02-26,fear_greed_candle_volume,45,1.0,161.78
2021-03-26,0,0,0.0,2021-02-26,fear_greed_candle_volume,45,1.0,162.24
2021-03-29,0,0,0.0,2021-02-26,fear_greed_candle_volume,45,1.0,160.31
2021-03-30,0,0,0.0,2021-02-26,fear_greed_candle_volume,45,1.0,157.57
2021-03-31,0,0,0.0,2021-02-26,fear_greed_candle_volume,45,1.0,159.96
2021-04-01,0,0,0.0,2021-03-31,fear_greed_candle_volume,45,1.0,161.98
2021-04-05,0,0,0.0,2021-03-31,fear_greed_candle_volume,45,1.0,161.92
2021-04-06,0,0,0.0,2021-03-31,fear_greed_candle_volume,45,1.0,163.22
2021-04-07,0,0,0.0,2021-03-31,fear_greed_candle_volume,45,1.0,162.76
2021-04-08,0,0,0.0,2021-03-31,fear_greed_candle_volume,45,1.0,164.51
2021-04-09,0,0,0.0,2021-03-31,fear_greed_candle_volume,45,1.0,163.27
2021-04-12,0,0,0.0,2021-03-31,fear_greed_candle_volume,45,1.0,162.28
2021-04-13,0,0,0.0,2021-03-31,fear_greed_candle_volume,45,1.0,163.43
2021-04-14,0,0,0.0,2021-03-31,fear_greed_candle_volume,45,1.0,162.72
2021-04-15,0,0,0.0,2021-03-31,fear_greed_candle_volume,45,1.0,165.35
2021-04-16,0,0,0.0,2021-03-31,fear_greed_candle_volume,45,1.0,166.35
2021-04-19,0,0,0.0,2021-03-31,fear_greed_candle_volume,45,1.0,165.89
2021-04-20,0,0,0.0,2021-03-31,fear_greed_candle_volume,45,1.0,166.48
2021-04-21,0,0,0.0,2021-03-31,fear_greed_candle_volume,45,1.0,168.13
2021-04-22,0,0,0.0,2021-03-31,fear_greed_candle_volume,45,1.0,167.04
2021-04-23,0,0,0.0,2021-03-31,fear_greed_candle_volume,45,1.0,166.4
2021-04-26,0,0,0.0,2021-03-31,fear_greed_candle_volume,45,1.0,166.84
