Date,ma_crossover_rank01_score,predicted_future_return,portfolio_weight,active_anchor_date,active_strategy_key,active_hold_days,prediction_scale,price
2023-02-09,0.877598328820584,0.877598328820584,0.9465768970155114,2023-01-31,ma_crossover,45,0.9271284050853007,173.03
2023-02-10,0.9252208316943179,0.9252208316943179,0.9979424927760602,2023-01-31,ma_crossover,45,0.9271284050853007,173.36
2023-02-13,0.9379379876342037,0.9379379876342037,1.0,2023-01-31,ma_crossover,45,0.9271284050853007,172.48
2023-02-14,0.8832885877846123,0.8832885877846123,0.9527144060518188,2023-01-31,ma_crossover,45,0.9271284050853007,172.61
2023-02-15,0.7955669445600823,0.7955669445600823,0.8580979076861375,2023-01-31,ma_crossover,45,0.9271284050853007,170.89
2023-02-16,0.6965793523798164,0.6965793523798164,0.7513299652551659,2023-01-31,ma_crossover,45,0.9271284050853007,170.75
2023-02-17,0.6396003834241443,0.6396003834241443,0.6898724922199937,2023-01-31,ma_crossover,45,0.9271284050853007,171.26
2023-02-21,0.516438738060957,0.516438738060957,0.5570304342184855,2023-01-31,ma_crossover,45,0.9271284050853007,170.62
2023-02-22,0.39728700673284695,0.39728700673284695,0.42851346647748806,2023-01-31,ma_crossover,45,0.9271284050853007,169.66
2023-02-23,0.29322019010809053,0.29322019010809053,0.3162670763831389,2023-01-31,ma_crossover,45,0.9271284050853007,169.57
2023-02-24,0.22459337562203707,0.22459337562203707,0.24224624592466595,2023-01-31,ma_crossover,45,0.9271284050853007,168.35
2023-02-27,0.05522224471169639,0.05522224471169639,0.059562671587670375,2023-01-31,ma_crossover,45,0.9271284050853007,169.01
2023-02-28,-0.09478672985779735,-0.09478672985779735,0.0,2023-01-31,ma_crossover,45,0.9271284050853007,169.78
2023-03-01,-0.20149425287355338,-0.20149425287355338,0.0,2023-02-28,ma_crossover,45,0.44265325670496325,170.76
2023-03-02,-0.2798850574712505,-0.2798850574712505,0.0,2023-02-28,ma_crossover,45,0.44265325670496325,170.66
2023-03-03,-0.4293869731800874,-0.4293869731800874,0.0,2023-02-28,ma_crossover,45,0.44265325670496325,172.49
2023-03-06,-0.519693486590029,-0.519693486590029,0.0,2023-02-28,ma_crossover,45,0.44265325670496325,171.62
