feature_column,target_horizon_days,selection_rows,evaluation_rows,coefficient,intercept,selection_correlation,selection_directional_accuracy,evaluation_correlation,evaluation_directional_accuracy
ma_crossover_score,91,140,138,-0.053104155718395024,0.1256525550217412,0.5812334945851246,1.0,0.51831584779183,1.0
ma_crossover_score,108,123,121,-0.018482906900007378,0.14129330155274894,0.23155233717874363,1.0,0.5124565938321537,1.0
ma_crossover_score,90,141,139,-0.051753460978513355,0.12401038955388509,0.5575891564616059,1.0,0.4928427018027777,0.9928057553956835
ma_crossover_score,109,122,120,-0.01861529111597446,0.14254272413653846,0.23728476933124237,1.0,0.47915078795513205,1.0
ma_crossover_score,89,142,140,-0.05013068534836556,0.12219276297204575,0.5306917036686775,1.0,0.47808995379856534,0.9928571428571429
ma_crossover_score,88,143,141,-0.048616039337942424,0.12033364830613201,0.5061503541722573,1.0,0.4664672092968233,0.9929078014184397
ma_crossover_score,87,144,142,-0.04808351047563179,0.11904799523004884,0.4896231713174706,1.0,0.46431923698705313,0.9859154929577465
ma_crossover_score,85,146,144,-0.04698440548178763,0.11649827762611689,0.4718039790647935,1.0,0.46427954919091524,0.9791666666666666
ma_crossover_score,86,145,143,-0.04748938381098742,0.11780366284712752,0.48019340746290734,1.0,0.46377172585059867,0.986013986013986
ma_crossover_score,84,147,145,-0.0468115329249381,0.11543271435187252,0.4676799394134949,1.0,0.46279516551493394,0.9724137931034482
ma_crossover_score,83,148,146,-0.04634898371494809,0.1142401277642531,0.45937286459125654,1.0,0.4604488794266239,0.9794520547945206
ma_crossover_score,82,149,147,-0.04604792456393241,0.1130900984286504,0.4553618645703102,1.0,0.4577115111886701,0.9727891156462585
ma_crossover_score,110,121,119,-0.019811240259565713,0.1440459349576802,0.2587515419051612,1.0,0.45702241901695606,1.0
ma_crossover_score,81,150,148,-0.046369517007336596,0.11202644119046076,0.45649907069685147,1.0,0.4529995377507551,0.9864864864864865
ma_crossover_score,80,151,149,-0.04741674331985991,0.11128656727057293,0.4641068802527879,1.0,0.44793436023191924,0.9731543624161074
ma_crossover_score,111,120,118,-0.02128641977181286,0.1453574676422676,0.2819401760828137,1.0,0.4411823607805072,1.0
ma_crossover_score,112,119,117,-0.022531251332374443,0.1467677372077214,0.29891613408318324,1.0,0.43786834523090645,1.0
ma_crossover_score,79,152,150,-0.048376995231124265,0.11039691974947566,0.4680795732697792,0.993421052631579,0.4378415892507301,0.9666666666666667
ma_crossover_score,113,118,116,-0.023830035892961385,0.1482167389121265,0.31360349028737233,1.0,0.4328599291175242,1.0
ma_crossover_score,114,117,115,-0.02468761650724003,0.14934147662068684,0.32674825801653595,1.0,0.42996901474128035,1.0
ma_crossover_score,78,153,151,-0.049678263146202176,0.10956436983891203,0.47404797849992214,0.9869281045751634,0.4277363053503278,0.9668874172185431
ma_crossover_score,125,106,104,-0.0051359705997770415,0.16099597585844685,0.0549199848343107,1.0,0.41934432411491585,1.0
ma_crossover_score,115,116,114,-0.025299620040546866,0.15048309851827307,0.33281185609858244,1.0,0.41917265623307626,1.0
ma_crossover_score,77,154,152,-0.05135070388171839,0.10897558583887827,0.4827883645931938,0.9935064935064936,0.41417730461789226,0.9605263157894737
ma_crossover_score,124,107,105,-0.009789002079016952,0.16071706686393444,0.10557069458315252,1.0,0.41071087850327137,1.0
ma_crossover_score,116,115,113,-0.02514739667231573,0.15173378540577856,0.32793382663354914,1.0,0.40270175199153097,1.0
ma_crossover_score,123,108,106,-0.014003971538237176,0.16027505729001998,0.156281732457462,1.0,0.4012224042947707,1.0
ma_crossover_score,76,155,153,-0.052887662485639,0.10835342074101004,0.4867208284913394,1.0,0.3986666592548805,0.9738562091503268
ma_crossover_score,117,114,112,-0.025066770864420312,0.15330601400902336,0.3235541732676603,1.0,0.38850171515750476,1.0
