hold_days,year,month_start,active_anchor_date,active_model_name,selection_criterion,dominant_family,adaptive_band_abs_sum,ma_crossover_abs_sum,adaptive_volatility_band_abs_sum,fear_greed_candle_volume_abs_sum,adaptive_band_top_count,ma_crossover_top_count,adaptive_volatility_band_top_count,fear_greed_candle_volume_top_count,nonzero_count
45,2023,2023-03-01,2023-02-28,ols,selection_correlation,adaptive_volatility_band,0.0,1.149217,3.543873,0.0,0,4,6,0,31
45,2023,2023-04-01,2023-03-31,ols,selection_correlation,ma_crossover,0.484662,2.758207,2.506244,0.0,1,4,5,0,32
45,2023,2023-05-01,2023-04-28,ols,selection_correlation,adaptive_volatility_band,0.0,0.38193,8.326548,0.0,0,1,9,0,32
45,2023,2023-06-01,2023-05-31,ols,selection_correlation,adaptive_volatility_band,0.0,0.435082,4.913529,0.0,0,1,9,0,32
45,2023,2023-07-01,2023-06-30,ols,selection_correlation,adaptive_volatility_band,0.497609,1.922601,4.088346,0.0,2,4,4,0,32
45,2023,2023-08-01,2023-07-31,ols,selection_correlation,adaptive_volatility_band,0.0,0.690497,7.048189,0.0,0,2,8,0,32
45,2023,2023-09-01,2023-08-31,ols,selection_correlation,adaptive_volatility_band,0.930218,1.431005,1.847901,0.0,2,3,5,0,30
45,2023,2023-10-01,2023-09-29,ols,selection_correlation,adaptive_volatility_band,1.518133,2.509668,5.538131,0.0,2,3,5,0,30
45,2023,2023-11-01,2023-10-31,ols,selection_correlation,adaptive_band,2.192284,0.32342,0.145867,0.0,7,2,1,0,30
45,2023,2023-12-01,2023-11-30,ols,selection_correlation,adaptive_volatility_band,0.322211,0.396455,1.100315,0.0,2,3,5,0,34
45,2024,2024-01-01,2023-12-29,ols,selection_correlation,ma_crossover,0.353942,2.157434,0.0,0.0,4,6,0,0,34
45,2024,2024-02-01,2024-01-31,ols,selection_correlation,ma_crossover,1.962007,40.627892,0.0,0.0,4,6,0,0,34
45,2024,2024-03-01,2024-02-29,ols,selection_correlation,adaptive_band,0.306088,0.201825,0.060571,0.0,5,4,1,0,34
45,2024,2024-04-01,2024-03-28,ols,selection_correlation,adaptive_band,1.69064,0.226829,0.0,0.0,8,2,0,0,30
45,2024,2024-05-01,2024-04-30,ols,selection_correlation,adaptive_band,3.994859,0.314345,3.558125,0.0,3,1,6,0,30
45,2024,2024-06-01,2024-05-31,ols,selection_correlation,adaptive_band,4.952571,1.051641,0.0,0.0,6,4,0,0,34
45,2024,2024-07-01,2024-06-28,ols,selection_correlation,adaptive_band,4.767767,1.220006,0.0,0.0,7,3,0,0,30
45,2024,2024-08-01,2024-07-31,ols,selection_correlation,adaptive_volatility_band,0.393795,1.330118,1.957672,0.0,2,5,3,0,30
45,2024,2024-09-01,2024-08-30,ols,selection_correlation,ma_crossover,0.150884,1.005229,0.161062,0.0,2,6,2,0,30
45,2024,2024-10-01,2024-09-30,ols,selection_correlation,ma_crossover,0.0,0.922273,0.617676,0.0,0,5,5,0,34
45,2024,2024-11-01,2024-10-31,ols,selection_correlation,ma_crossover,0.521468,1.345699,0.0,0.0,3,7,0,0,38
45,2024,2024-12-01,2024-11-29,ols,selection_correlation,adaptive_volatility_band,0.84358,1.119548,4.964821,0.0,2,2,6,0,38
