Date,Open,High,Low,Close,Volume
2019-02-08,200.82,201.2,198.21,200.7,5202832
2019-02-11,201.69,203.33,201.32,203.05,3896586
2019-02-12,204.94,206.67,204.87,206.15,4007563
2019-02-13,206.96,208.08,205.414,205.8,3545336
2019-02-14,204.64,204.64,201.6,202.68,4105505
2019-02-15,204.86,205.79,204.07,205.15,5752642
2019-02-19,205.1,206.32,204.68,205.68,3723046
2019-02-20,205.78,206.92,204.935,205.725,3400171
2019-02-21,206.27,206.86,204.35,205.33,3567466
2019-02-22,204.25,204.59,199.92,202.15,5964228
2019-02-25,201.7,205.0,201.22,202.3,5285618
2019-02-26,202.4,202.65,201.3,201.9,5334263
2019-02-27,201.72,202.3,201.25,201.902,4825412
2019-02-28,202.68,202.94,201.11,201.5,4421121
2019-03-01,203.15,203.84,201.84,203.37,3912996
2019-03-04,203.13,204.87,200.58,201.81,5433492
2019-03-05,201.8,202.0,200.58,201.4,5596053
2019-03-06,201.61,202.3,200.57,200.67,3473859
2019-03-07,200.49,200.58,197.99,199.3,5613675
2019-03-08,197.91,198.94,197.03,198.7,4063858
2019-03-11,199.62,202.3,199.47,201.9,4355347
2019-03-12,202.66,203.73,202.23,202.5,4051292
2019-03-13,203.0,205.36,202.66,203.971,4103282
2019-03-14,203.26,204.36,202.68,203.38,3379469
2019-03-15,204.08,206.16,203.86,204.31,10024894
2019-03-18,204.67,206.95,204.67,206.57,4441161
2019-03-19,207.31,207.75,204.01,205.15,4525730
2019-03-20,205.43,205.45,202.98,203.27,4661651
2019-03-21,202.92,204.7,201.91,204.43,4548086
2019-03-22,203.28,204.01,200.06,200.55,6599435
2019-03-25,200.83,201.98,198.2,199.44,4413220
2019-03-26,200.83,201.32,198.7,200.62,4258354
2019-03-27,200.72,201.2,198.23,199.21,4116972
2019-03-28,199.4,200.75,198.4,200.45,3372874
2019-03-29,201.34,201.7,200.03,200.85,5728375
2019-04-01,202.16,205.3,202.0,205.0,4806551
2019-04-02,204.91,205.43,203.59,204.367,2715612
2019-04-03,205.29,205.7,202.9,203.72,3307066
