year,hold_days,update_label,block_days,negative_bh_blocks,positive_bh_blocks,avg_exposure_when_bh_negative,avg_exposure_when_bh_positive,exposure_gap_positive_minus_negative,avg_strategy_return_when_bh_negative,avg_strategy_return_when_bh_positive,strategy_return_gap_positive_minus_negative,corr_block_bh_vs_exposure,buy_hold_return,strategy_return,average_exposure,hundred_pct_equivalent_return,beats_buy_hold,beats_buy_hold_efficiency_proxy
2020,130,6M,45,2,4,0.8237727347990451,0.5576497044889431,-0.266123030310102,-0.015531061623946296,0.039118702158589536,0.05464976378253583,-0.24171399479478525,0.20221083850094357,0.10923194092763744,0.6303980397178104,0.17327455678087725,False,False
2020,130,6M,130,1,1,0.8232108407322088,0.4791141496911284,-0.3440966910410804,-0.059624354134046875,0.1971608916170111,0.256785245751058,-0.9999999999999999,0.20221083850094357,0.10923194092763744,0.6303980397178104,0.17327455678087725,False,False
2021,45,1M,45,3,3,0.18560804144159415,0.27347892642038635,0.0878708849787922,-0.012250548352548648,0.008090877677432587,0.020341426029981236,-0.22034419182178663,-0.06235945812537713,-0.01112887083254921,0.23013922783205262,-0.0483571225009526,True,True
2021,45,1M,130,1,1,0.2320430044531081,0.22811061339978017,-0.003932391053327933,-0.02092286592905146,0.010075926616012199,0.030998792545063658,-1.0,-0.06235945812537713,-0.01112887083254921,0.23013922783205262,-0.0483571225009526,True,True
2021,45,2M,45,3,3,0.19841322955852828,0.33203212146027167,0.1336188919017434,-0.016830182306515895,0.010452018710463085,0.02728220101697898,-0.0910674327829638,-0.06235945812537713,-0.01712917088466459,0.2668703142068371,-0.06418537384187539,True,False
2021,45,2M,130,1,1,0.33120699514128454,0.19831483452258974,-0.1328921606186948,-0.025232496383034597,0.008322027794568587,0.033554524177603184,-1.0,-0.06235945812537713,-0.01712917088466459,0.2668703142068371,-0.06418537384187539,True,False
2021,45,3M,45,3,3,0.20557888104308483,0.3816234129365094,0.1760445318934246,-0.013874770056010677,0.01500183990828837,0.028876609964299048,0.11824294961302846,-0.06235945812537713,0.005900878776524676,0.30073077641319196,0.0196217987626817,True,True
2021,45,3M,130,1,1,0.44991656227700305,0.1417623160665078,-0.30815424621049525,0.0015753504281021957,0.004341038947075271,0.002765688518973075,-1.0,-0.06235945812537713,0.005900878776524676,0.30073077641319196,0.0196217987626817,True,True
2021,45,6M,45,3,3,0.47801886862436627,0.34191097197307624,-0.13610789665129003,-0.018669773034097076,0.017872804603473142,0.03654257763757022,0.09741380852587696,-0.06235945812537713,0.004344223466755448,0.4382164081961079,0.009913420368347659,True,True
2021,45,6M,130,1,1,0.7438583428862796,0.11253237942789208,-0.6313259634583875,0.006852960314420287,-0.001851112181030623,-0.00870407249545091,-1.0,-0.06235945812537713,0.004344223466755448,0.4382164081961079,0.009913420368347659,True,True
2021,130,1M,45,3,3,0.4443355572393777,0.2348313838794112,-0.2095041733599665,-0.012815600846782385,0.010809156264700507,0.023624757111482892,0.1606360069167625,-0.06235945812537713,2.0130681225527525e-05,0.36139105857806436,5.5703318462648354e-05,True,True
2021,130,1M,130,1,1,0.4466025525549523,0.27059192565187234,-0.17601062690307995,0.0073290345949139635,-0.0064021302891220655,-0.013731164884036029,-1.0,-0.06235945812537713,2.0130681225527525e-05,0.36139105857806436,5.5703318462648354e-05,True,True
2021,130,2M,45,3,3,0.4386436824273929,0.22569023473584457,-0.2129534476915483,-0.012813147884237782,0.010626826817464,0.023439974701701782,0.1512191742964443,-0.06235945812537713,-0.000505995787241531,0.3544240201154691,-0.0014276565879385965,True,True
2021,130,2M,130,1,1,0.4456835956810579,0.25718021008656294,-0.18850338559449498,0.0069966749892014235,-0.0066131276393252,-0.013609802628526624,-1.0,-0.06235945812537713,-0.000505995787241531,0.3544240201154691,-0.0014276565879385965,True,True
2021,130,3M,45,3,3,0.5496121447423635,0.29337741157774505,-0.2562347331646185,-0.016087604162265956,0.01185894027577176,0.027946544438037714,0.1621193409919502,-0.06235945812537713,-0.005980059154938933,0.4475975716832857,-0.013360347627556715,True,True
2021,130,3M,130,1,1,0.490261622871459,0.40213587779424853,-0.0881257450772105,0.002425756465223694,-0.007316802648398624,-0.009742559113622318,-1.0,-0.06235945812537713,-0.005980059154938933,0.4475975716832857,-0.013360347627556715,True,True
2021,130,6M,45,3,3,0.5176823007722775,0.2776481009327247,-0.24003419983955282,-0.014816408367862724,0.011631291712150826,0.02644770008001355,0.16635793107864763,-0.06235945812537713,-0.0029946937367618665,0.4220521025585267,-0.007095554597661522,True,True
2021,130,6M,130,1,1,0.47685059084000725,0.36366027078317853,-0.11319032005682872,0.004929761823332601,-0.006880628814261436,-0.011810390637594037,-0.9999999999999998,-0.06235945812537713,-0.0029946937367618665,0.4220521025585267,-0.007095554597661522,True,True
2022,45,1M,45,3,3,0.3925294056652542,0.09009829703587591,-0.3024311086293783,-0.020944241509034327,0.0017438731439657722,0.0226881146530001,-0.48532060546840866,0.0077823323234123,-0.05673879414290184,0.25445799994273405,-0.22297901483023108,False,False
